2021-09-09 23:24:25 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration url -> org.hibernate.type.UrlType@b3d7190
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@b3d7190
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration Duration -> org.hibernate.type.DurationType@6dde5c8c
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6dde5c8c
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration Instant -> org.hibernate.type.InstantType@aecb35a
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@aecb35a
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@382db087
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@382db087
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3d0f8e03
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3d0f8e03
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@27fe3806
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@27fe3806
  2021-09-09 23:24:25 DEBUG BasicTypeRegistry:145 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4f51b3e0
  2021-09-09 23:24:
